               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10489,            0.021085,                   0,            0.073656,             0.49303,             0.05888,            0.012213,            0.047259,             0.01509,                   0,              0.0015,              0.0015,              0.0865
                   1,            0.082919,            0.024067,                   0,             0.54396,                 0.5,              0.3854,            0.082403,            0.037798,             0.01344,                   0,           0.0029465,           0.0029465,            0.071947
                   2,            0.063455,            0.024621,                   0,             0.63089,             0.59832,              0.5634,             0.15783,            0.038368,            0.010583,                   0,           0.0042347,           0.0042347,            0.057235
                   3,            0.064053,            0.021161,                   0,             0.31477,             0.84984,             0.34487,            0.048495,            0.046229,           0.0087877,                   0,           0.0053644,           0.0053644,            0.042364
                   4,            0.056056,            0.021333,                   0,              0.6787,                0.65,              0.6604,             0.29057,            0.038192,           0.0090723,                   0,           0.0063358,           0.0063358,            0.027336
                   5,            0.054753,            0.019779,                   0,             0.18077,                 0.5,             0.16291,            0.021644,             0.05446,            0.010016,                   0,           0.0071487,           0.0071487,            0.012149
                   6,            0.060427,            0.017367,                   0,             0.60748,                 0.7,             0.62047,             0.15039,            0.036256,           0.0072241,                   0,             0.00703,             0.00703,             0.00703
                   7,            0.056117,            0.018485,                   0,             0.71277,                0.75,             0.73002,             0.16961,            0.043191,           0.0075353,                   0,             0.00703,             0.00703,             0.00703
                   8,            0.055784,            0.018116,                   0,             0.64252,                 0.9,               0.804,             0.21059,            0.032999,           0.0067181,                   0,            0.006535,            0.006535,            0.006535
                   9,            0.049713,            0.016172,                   0,              0.8327,                0.75,             0.85454,             0.43403,            0.025019,           0.0067301,                   0,             0.00604,             0.00604,             0.00604
                  10,            0.047161,              0.0161,                   0,                   1,             0.84983,             0.91589,             0.48356,            0.023551,           0.0063344,                   0,            0.005545,            0.005545,            0.005545
                  11,            0.040474,            0.015199,                   0,              0.8571,                 0.9,             0.83607,             0.38772,             0.02565,           0.0064916,                   0,             0.00505,             0.00505,             0.00505
                  12,            0.041657,            0.014743,                   0,              0.9999,                0.95,             0.98848,             0.43995,            0.022975,           0.0059159,                   0,            0.004555,            0.004555,            0.004555
                  13,            0.038188,            0.013737,                   0,             0.90909,             0.99997,             0.97545,             0.43938,            0.024156,           0.0057173,                   0,             0.00406,             0.00406,             0.00406
                  14,            0.034502,            0.014362,                   0,             0.94998,                0.95,             0.93051,             0.38473,            0.025038,           0.0058332,                   0,            0.003565,            0.003565,            0.003565
                  15,            0.035795,            0.013169,                   0,                0.95,             0.94999,              0.9259,             0.34709,            0.026741,           0.0061052,                   0,             0.00307,             0.00307,             0.00307
                  16,            0.033373,            0.012836,                   0,                0.95,             0.94994,             0.92587,             0.39763,            0.025598,           0.0060492,                   0,            0.002575,            0.002575,            0.002575
                  17,            0.033014,            0.012205,                   0,             0.94999,                0.95,             0.97448,             0.53265,            0.022443,           0.0055192,                   0,             0.00208,             0.00208,             0.00208
                  18,            0.030486,            0.011993,                   0,              0.9499,                0.95,             0.97571,             0.46659,            0.023038,            0.005395,                   0,            0.001585,            0.001585,            0.001585
                  19,            0.030107,            0.012034,                   0,                0.95,             0.94995,             0.97448,             0.44896,            0.024378,           0.0053868,                   0,             0.00109,             0.00109,             0.00109
